Template version:,1.0.1,"Must be saved as .csv before uploading. Please see the ""My data sets"" tab at www.pals.unsw.edu.au for detailed instructions on how to use this template. Meta data for your site can be entered when uploading. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local date,local hour-of-day,SW downward,SWdown FLAG,LW downward,LW down FLAG,Air Temp,Air Temp FLAG,Rel humidity,RelHum FLAG,Windspeed,Windspeed FLAG,Rainfall,Rainf FLAG,Snowfall,Snowf FLAG,Air Pressure,Pressure FLAG,Ambient CO2 conc.,CO2air FLAG,Net Radiation,Rnet FLAG,SW upward,SWup FLAG,Latent heat,LatHeat FLAG,Sensible heat,SensHeat FLAG,NEE,NEE FLAG,SoilHeatFlux,SHFlux FLAG
dd/mm/yyyy," real [0,24)",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",C,"0 = obs, -9999 = unknown",%,"0 = obs, -9999 = unknown",m/s,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mm/time step,"0 = obs, -9999 = unknown",mb,"0 = obs, -9999 = unknown",ppmv,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown",umol m-2 s-2,"0 = obs, -9999 = unknown",W/m2,"0 = obs, -9999 = unknown"
01/01/1997,0.000,0,0,-9999,-9999,4.3,0,53.5,0,3.49,0,0,0,-9999.00,-9999,985,0,-9999.00,-9999,-50,0,-9999.00,-9999,6,0,-48,0,-0.591,0,-9999.00,-9999
01/01/1997,0.50,0,3,-9999,-9999,-0.8,2,71.93,2,2.689,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.9,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,1.00,0,3,-9999,-9999,-0.9,2,72.05,2,2.659,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.3,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,1.50,0,3,-9999,-9999,-1.1,2,72.26,2,2.483,2,0,1,-9999.00,-9999,978.2,2,-9999.00,-9999,-17.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,2.00,0,3,-9999,-9999,-1.2,2,72.05,2,2.414,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-15.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,2.50,0,3,-9999,-9999,-1.1,2,71.36,2,2.548,2,0,1,-9999.00,-9999,978.3,2,-9999.00,-9999,-14.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,3.00,0,3,-9999,-9999,-1.2,2,69.41,2,2.875,2,0,1,-9999.00,-9999,978.4,2,-9999.00,-9999,-15.7,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,3.50,0,3,-9999,-9999,-1.6,2,69.39,2,2.765,2,0,1,-9999.00,-9999,978.5,2,-9999.00,-9999,-16.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,4.00,0,3,-9999,-9999,-1.8,2,69.37,2,2.818,2,0,1,-9999.00,-9999,978.6,2,-9999.00,-9999,-15.5,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,4.50,0,3,-9999,-9999,-2.1,2,69.65,2,2.88,2,0,1,-9999.00,-9999,978.7,2,-9999.00,-9999,-15.1,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,5.00,0,3,-9999,-9999,-2.4,2,70.71,2,2.915,2,0,1,-9999.00,-9999,978.7,2,-9999.00,-9999,-15.2,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,5.50,0,3,-9999,-9999,-1.2,2,74.22,2,2.959,2,0,1,-9999.00,-9999,977.3,2,-9999.00,-9999,-14.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,6.00,0,3,-9999,-9999,-1.3,2,74.31,2,2.894,2,0,1,-9999.00,-9999,977.4,2,-9999.00,-9999,-14.2,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,6.50,0,3,-9999,-9999,-1.5,2,74.68,2,3.002,2,0,1,-9999.00,-9999,977.7,2,-9999.00,-9999,-14.1,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,7.00,0,3,-9999,-9999,-1.7,2,75.72,2,2.902,2,0,1,-9999.00,-9999,978,2,-9999.00,-9999,-15.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
01/01/1997,7.50,0,3,-9999,-9999,-2,2,78.19,2,2.942,2,0,1,-9999.00,-9999,978.1,2,-9999.00,-9999,-13.4,2,-9999.00,-9999,2.51,2,-11.46,2,-0.042,1,-9999.00,-9999
